order_created_at,order_number,order_status,customer_store_id,shipment_id,shipment_status,estimated_delivery_date,actual_delivery_date,store,delivery_by_merce,shipping_price,sold_amount,picked_amount,picked_cmv,rebate_amount
4/8/21 09:59:31,94783921,CANCELED,104b004e-f528-408c-9422-ef20e9984d44,,,,,,,,159.13,0.00,0.00,
4/27/21 16:09:18,90898417,HANDED_OUT,d9143ad0-5f8a-43cb-8a13-cba6254101de,9985ecbb-33b9-4fcf-aca6-48c70630a8af,HANDED_OUT,2021-04-28,2021-04-28,Atacadão - Interlagos,TRUE,0,543.86,336.40,382.26,
4/14/21 18:58:23,18551849,CANCELED,b31be17e-b8c6-43d1-b1f7-64688b0ec6b7,,,,,,,,130.50,0.00,0.00,
5/19/21 14:06:22,07465659,HANDED_OUT,6ffebe40-8f53-4b04-a793-3b227c5b0ab7,12962fc1-931c-428e-8440-66e8e566a578,HANDED_OUT,2021-05-21,2021-06-07,Atacadão - Online,FALSE,0,683.10,637.56,658.55,"17,1882"
6/2/21 13:37:54,18696871,HANDED_OUT,84d293e8-2ae8-4233-96e3-a6b24f1db6f6,43fdc809-8b0b-4eca-a2ff-db7329e7cc8e,HANDED_OUT,2021-06-03,2021-06-03,Adega Félix,TRUE,0,153.73,143.48,146.23,
6/2/21 13:37:54,18696871,HANDED_OUT,84d293e8-2ae8-4233-96e3-a6b24f1db6f6,65d35a3f-fc89-4a60-b0cd-da642cb20867,HANDED_OUT,2021-06-03,2021-06-03,Akki - Santo Amaro,TRUE,0,463.29,432.40,440.69,
6/23/21 20:31:28,08618912,HANDED_OUT,c052e437-cc51-4563-83d4-e8cfd0989138,cc3ca5fc-cf3c-405a-96c5-7943286b152b,HANDED_OUT,2021-06-25,2021-06-25,Atacadão - Interlagos,TRUE,15,327.46,285.31,315.28,
6/22/21 14:22:43,48137904,HANDED_OUT,f8d1dbd7-5a7c-4f60-8e50-e2c86f0fe254,fbd7e5a7-ee0b-49b2-99c1-c8deab5d518e,HANDED_OUT,2021-06-24,2021-06-23,Adega Félix,TRUE,0,503.83,288.97,290.23,
4/16/21 11:08:52,58830388,HANDED_OUT,7f5a29b6-5f89-436c-aa09-74c6f9a54872,094b455e-1aab-43a1-b194-aff73bdb6a1c,HANDED_OUT,2021-04-19,2021-04-19,Atacadão - Osasco,TRUE,0,"1,035.71",966.67,977.93,
4/27/21 18:12:23,48777234,HANDED_OUT,c052e437-cc51-4563-83d4-e8cfd0989138,8246a7f1-c9d9-4ba4-8714-5de49a5398be,HANDED_OUT,2021-04-29,2021-04-29,Atacadão - Interlagos,TRUE,0,132.77,123.92,128.19,
5/25/21 12:03:09,23477149,HANDED_OUT,cf6dfa78-9e42-4601-aa13-a6607ba52bb5,4ebd7904-c0ab-4f63-b9fa-ea5717e4a00b,HANDED_OUT,2021-05-27,2021-05-26,Adega Félix,TRUE,0,600.77,560.72,565.32,
5/25/21 12:03:09,23477149,HANDED_OUT,cf6dfa78-9e42-4601-aa13-a6607ba52bb5,82ad6e66-4050-432e-be18-fe287afa2c07,HANDED_OUT,2021-05-27,2021-05-27,Tenda - Interlagos,TRUE,0,216.11,201.71,204.58,
6/10/21 12:49:17,38913698,HANDED_OUT,7dcc61bd-6959-408e-8150-fecc8e4bfaa0,beea1af5-72d6-4795-90ae-b2758e0dbfd4,HANDED_OUT,2021-06-11,2021-06-11,Atacadão - Osasco,TRUE,15,73.29,68.40,85.28,
4/20/21 20:14:16,93057459,HANDED_OUT,4761bf47-73e0-449c-9e72-af360f74b80f,6cc08e00-3730-4765-8b6a-68149677ba6c,HANDED_OUT,2021-04-22,2021-04-22,Atacadão - Osasco,TRUE,15,201.31,147.49,144.63,
5/27/21 13:02:28,24501864,HANDED_OUT,0234a08a-04de-4d68-b3c6-4166ee8b26b4,b435b03d-9211-4073-b0e3-76788d6fc5c0,HANDED_OUT,2021-05-31,2021-05-28,Atacadão - Osasco,TRUE,15,237.17,210.12,213.06,
4/19/21 10:12:35,25478106,HANDED_OUT,76616a73-096d-4616-ab79-e4bcae37ac8f,730c9441-e5ee-4775-b2c5-f5c9113b3a64,HANDED_OUT,2021-04-20,2021-04-20,Atacadão - Interlagos,TRUE,15,517.84,425.87,439.31,
4/26/21 12:19:34,65934974,HANDED_OUT,4456c1d2-9c42-4b6d-9c9b-8aa44c597e2d,a81e8995-2035-4e0d-b64f-2298ae76c326,HANDED_OUT,2021-04-27,2021-04-26,Atacadão - Interlagos,TRUE,0,89.10,83.16,81.39,
4/28/21 13:16:13,70186000,HANDED_OUT,34c75bff-fd52-43ec-80d8-d31e96a1b5c5,cbbde842-62c0-4e22-b1a1-d5335dafc1ab,HANDED_OUT,2021-04-29,2021-04-29,Atacadão - Osasco,TRUE,15,"1,295.02","1,207.56","1,236.44",
